"symbol";"nimi";"sektor";"hind";"tootlus";"kogus";"kasum_aktsia_kohta";"dividend_aktsia_kohta"
"A";"Agilent Technologies Inc";"Health Care";85.09;0.78170794;1515013;3.37;0.656
"AAL";"American Airlines Group";"Industrials";29.84;3.6470969;8844745;3.79;0.4
"AAP";"Advance Auto Parts";"Consumer Discretionary";132.11;1.0942823;546070;6.173;0.24
"AAPL";"Apple Inc.";"Information Technology";319.61;-0.6033284;23580780;12.595;3.04
"ABBV";"AbbVie Inc.";"Health Care";96;1.3192612;10301515;5.28;4.39
"ABC";"AmerisourceBergen Corp";"Health Care";94.57;1.0363262;1134164;3.087;1.6
"ABMD";"ABIOMED Inc";"Health Care";175.82;0.9995436;828444;5.331;NA
"ABT";"Abbott Laboratories";"Health Care";89.17;0.9852719;2557988;2.06;1.32
"ACN";"Accenture plc";"Information Technology";212.14;-0.19289751;1291908;7.495;3.06
"ADBE";"Adobe Systems Inc";"Information Technology";369.28;-0.19459493;2005005;6;NA
"ADI";"Analog Devices, Inc.";"Information Technology";116.88;3.5252397;2721320;3.65;2.16
"ADM";"Archer-Daniels-Midland Co";"Consumer Staples";46.12;0.96321946;2036290;2.44;1.4
"ADP";"Automatic Data Processing";"Information Technology";177.97;-0.7749773;1540312;5.661;3.28
"ADS";"Alliance Data Systems";"Information Technology";103.69;0.24168599;336335;6.099;2.52
"ADSK";"Autodesk Inc.";"Information Technology";205.8;-0.14556189;1269296;0.667;NA
"AEE";"Ameren Corp";"Utilities";84.27;0.34531233;1462522;3.253;1.9
"AEP";"American Electric Power";"Utilities";102.22;0.29435152;1323689;4.311;2.68
"AES";"AES Corp";"Utilities";20.79;1.3157917;3139794;0.762;0.539
"AFL";"AFLAC Inc";"Financials";52.94;0.379213;1999774;4.43;1.08
"AGN";"Allergan, plc";"Health Care";200.99;0.67118037;2338954;-16.021;2.94
"AIG";"American International Group";"Financials";54.47;0.60953426;4388593;2.012;1.28
"AIZ";"Assurant";"Financials";139.61;1.8233535;497588;4.169;2.4
"AIV";"Apartment Investment & Management";"Real Estate";54.13;0.35224774;520524;3.15;1.58
"AJG";"Arthur J. Gallagher & Co.";"Financials";107.4;0.58063567;625869;3.52;1.72
"AKAM";"Akamai Technologies Inc";"Information Technology";96.37;0.63700986;1507256;2.745;NA
"ALB";"Albemarle Corp";"Materials";84.71;1.7537527;1230222;5.378;1.438
"ALGN";"Align Technology";"Health Care";264.46;2.0962796;533908;5.53;NA
"ALK";"Alaska Air Group Inc";"Industrials";64.55;0.1862529;771019;6.19;1.4
"ALL";"Allstate Corp";"Financials";125.1;0.9277947;1489386;14.03;2
"ALLE";"Allegion";"Industrials";137.89;1.1071965;454271;4.793;1.02
"ALXN";"Alexion Pharmaceuticals";"Health Care";102.46;1.4354985;1216236;10.7;NA
"AMAT";"Applied Materials Inc.";"Information Technology";64.45;2.4316573;6203824;2.86;0.83
"AMCR";"Amcor plc";"Materials";10.97;1.4801096;5460915;0.306;0.575
"AMD";"Advanced Micro Devices Inc";"Information Technology";53.8;2.9468064;74719054;0.3;NA
"AME";"AMETEK Inc.";"Industrials";100.15;1.5720112;1140418;3.75;0.56
"AMGN";"Amgen Inc.";"Health Care";228.96;0.677165;1934539;12.88;5.8
"AMP";"Ameriprise Financial";"Financials";177.63;1.0582014;457737;13.92;3.81
"AMZN";"Amazon.com Inc.";"Consumer Discretionary";2150.8;0.79151124;5746011;23.01;NA
"AMT";"American Tower Corp.";"Real Estate";254.27;4.3415823;3218555;3.601;3.61
"ANET";"Arista Networks";"Information Technology";231.5;-0.39155096;653559;9.491;NA
"ANSS";"ANSYS";"Information Technology";288.29;0.6177648;367414;5.133;NA
"ANTM";"Anthem";"Health Care";279.91;1.214976;1700033;18.467;3.2
"AON";"Aon plc";"Financials";231.22;0.06491275;758599;6.366;1.72
"AOS";"A.O. Smith Corp";"Industrials";44.01;2.3488333;1439255;2.219;0.9
"APA";"Apache Corporation";"Energy";28.17;0.7150546;2007370;-2.538;1
"APD";"Air Products & Chemicals Inc";"Materials";252.41;0.2780966;957750;8.509;4.64
"APH";"Amphenol Corp";"Information Technology";102.62;-0.17509757;1362450;3.75;0.96
"APTV";"Aptiv PLC";"Consumer Discretionary";90.78;3.9862492;1380441;3.85;0.88
"ARE";"Alexandria Real Estate Equities";"Real Estate";171.65;0.6331632;545229;3.12;4
"ARNC";"Arconic Inc.";"Industrials";32.02;1.169039;2486262;1.03;0.12
"AZO";"AutoZone Inc";"Consumer Discretionary";1051.22;-0.23725468;162784;64.393;NA
"ATO";"Atmos Energy Corp";"Utilities";119.36;0.88750154;484678;4.46;2.15
"ATVI";"Activision Blizzard";"Communication Services";61.19;-0.713942;5350588;1.95;0.41
"AVB";"AvalonBay Communities, Inc.";"Real Estate";222.88;0.5095851;806902;5.63;6.08
"AVGO";"Broadcom Inc.";"Information Technology";320.16;1.8968781;1552703;6.431;11.2
"AWK";"American Water Works Company Inc";"Utilities";135.34;0.09613906;693586;3.497;1.91
"AVY";"Avery Dennison Corp";"Materials";137.62;0.71721;250587;3.57;2.26
"AXP";"American Express Co";"Financials";132.63;0.29491785;1671533;7.99;1.64
"BA";"Boeing Company";"Industrials";344.42;-0.072533146;5143085;-1.124;8.22
"BAC";"Bank of America Corp";"Financials";34.77;0.23061928;32462225;2.75;0.66
"BAX";"Baxter International Inc.";"Health Care";91.85;0.62445194;1690766;2.988;0.79
"BBY";"Best Buy Co. Inc.";"Consumer Discretionary";89.89;1.3416038;1767862;5.66;2
"BDX";"Becton Dickinson";"Health Care";256.41;1.7500015;2585548;2.763;3.1
"BEN";"Franklin Resources";"Financials";25.16;-1.7187521;4095248;2.51;1.05
"BF-B";"Brown-Forman Corp.";"Consumer Staples";70.35;1.5151448;757366;1.77;0.664
"BIIB";"Biogen Inc.";"Health Care";332.29;-1.959102;1806294;31.42;NA
"BK";"The Bank of New York Mellon Corp.";"Financials";46.42;-0.15057756;3315708;4.51;1.18
"BKNG";"Booking Holdings Inc";"Consumer Discretionary";1909.3;1.2010789;408894;97.356;NA
"BKR";"Baker Hughes Co";"Energy";22.14;-0.04514776;4106377;NA;NA
"BLK";"BlackRock";"Financials";570.44;1.6645923;557418;28.43;13.2
"BLL";"Ball Corp";"Materials";77.64;1.1991634;1587281;1.66;0.55
